value_id,product_super_attribute_id,store_id,use_default,"value"
19099,19099,1,1,""
19100,19100,1,1,""
19101,19101,1,1,""
19102,19102,1,1,""
19103,19103,1,1,""
19104,19104,1,1,""
19105,19105,1,1,""
19106,19106,1,1,""
19107,19107,1,1,""
19108,19108,1,1,""
19109,19109,1,1,""
19113,19113,1,1,""
19114,19114,1,1,""
19116,19116,1,1,""
19117,19117,1,1,""
19118,19118,1,1,""
19119,19119,1,1,""
19120,19120,1,1,""
19121,19121,1,1,""
19122,19122,1,1,""
19123,19123,1,1,""
19124,19124,1,1,""
19125,19125,1,1,""
19126,19126,1,1,""
19127,19127,1,1,""
19128,19128,1,1,""
19129,19129,1,1,""
19130,19130,1,1,""
19131,19131,1,1,""
19132,19132,1,1,""
19133,19133,1,1,""
19134,19134,1,1,""
19135,19135,1,1,""
19136,19136,1,1,""
19137,19137,1,1,""
19138,19138,1,1,""
19139,19139,1,1,""
19140,19140,1,1,""
19141,19141,1,1,""
19142,19142,1,1,""
19143,19143,1,1,""
19144,19144,1,1,""
19145,19145,1,1,""
19146,19146,1,1,""
19147,19147,1,1,""
19148,19148,1,1,""
19149,19149,1,1,""
19150,19150,1,1,""
19151,19151,1,1,""
19152,19152,1,1,""
19153,19153,1,1,""
19154,19154,1,1,""
19155,19155,1,1,""
19156,19156,1,1,""
19157,19157,1,1,""
19158,19158,1,1,""
19159,19159,1,1,""
19163,19163,1,1,""
19173,19173,1,1,""
19177,19177,1,1,""
19181,19181,1,1,""
19189,19189,1,1,""
19190,19190,1,1,""
19191,19191,1,1,""
19192,19192,1,1,""
19193,19193,1,1,""
19194,19194,1,1,""
19195,19195,1,1,""
19196,19196,1,1,""
19197,19197,1,1,""
19198,19198,1,1,""
19199,19199,1,1,""
19200,19200,1,1,""
19201,19201,1,1,""
19202,19202,1,1,""
19203,19203,1,1,""
19204,19204,1,1,""
19205,19205,1,1,""
19206,19206,1,1,""
19207,19207,1,1,""
19208,19208,1,1,""
19209,19209,1,1,""
19210,19210,1,1,""
19216,19216,1,1,""
19217,19217,1,1,""
19218,19218,1,1,""
19219,19219,1,1,""
19220,19220,1,1,""
19221,19221,1,1,""
19222,19222,1,1,""
19224,19224,1,1,""
19225,19225,1,1,""
19227,19227,1,1,""
19240,19240,1,1,""
19243,19243,1,1,""
19244,19244,1,1,""
19247,19247,1,1,""
19249,19249,1,1,""
19253,19253,1,1,""
19264,19264,1,1,""
19267,19267,1,1,""
19274,19274,1,1,""
19288,19288,1,1,""
