entity_type_id,"entity_type_code","entity_model","attribute_model","entity_table","value_table_prefix","entity_id_field",is_data_sharing,"data_sharing_key",default_attribute_set_id,"increment_model",increment_per_store,increment_pad_length,"increment_pad_char","additional_attribute_table","entity_attribute_collection"
1,"customer","customer/customer","customer/attribute","customer/entity",NULL,NULL,1,"default",1,"eav/entity_increment_numeric",0,8,"0","customer/eav_attribute","customer/attribute_collection"
2,"customer_address","customer/address","customer/attribute","customer/address_entity",NULL,NULL,1,"default",2,NULL,0,8,"0","customer/eav_attribute","customer/address_attribute_collection"
3,"catalog_category","catalog/category","catalog/resource_eav_attribute","catalog/category",NULL,NULL,1,"default",3,NULL,0,8,"0","catalog/eav_attribute","catalog/category_attribute_collection"
4,"catalog_product","catalog/product","catalog/resource_eav_attribute","catalog/product",NULL,NULL,1,"default",4,NULL,0,8,"0","catalog/eav_attribute","catalog/product_attribute_collection"
5,"order","sales/order",NULL,"sales/order",NULL,NULL,1,"default",0,"eav/entity_increment_numeric",1,8,"0",NULL,NULL
6,"invoice","sales/order_invoice",NULL,"sales/invoice",NULL,NULL,1,"default",0,"eav/entity_increment_numeric",1,8,"0",NULL,NULL
7,"creditmemo","sales/order_creditmemo",NULL,"sales/creditmemo",NULL,NULL,1,"default",0,"eav/entity_increment_numeric",1,8,"0",NULL,NULL
8,"shipment","sales/order_shipment",NULL,"sales/shipment",NULL,NULL,1,"default",0,"eav/entity_increment_numeric",1,8,"0",NULL,NULL
